reach,Probability,SE,CI_low,CI_high
3.823848405280642,0.1652343317386389,0.008064388512584938,0.14549434096916905,0.18706624070489689
3.883596036613152,0.1651238571224216,0.008061264188858566,0.14539197748995863,0.18694784897980268
3.943343667945662,0.16505758247810712,0.008059990368926729,0.14532917474715704,0.18687853029866747
4.0030912992781715,0.165037162380605,0.008060671269136803,0.1453073325563293,0.1868602209284844
4.062838930610682,0.16506428064097425,0.00806342025067767,0.14532785840951412,0.18689491195849264
4.122586561943192,0.16514065415342843,0.00806836092983206,0.14539216869261792,0.18698465623680138
4.182334193275702,0.16526803689728142,0.008075628366224451,0.14550168987103893,0.18713157567567212
4.242081824608212,0.16544822409762347,0.00808537033329127,0.14565785963695788,0.18733786894033436
4.301829455940722,0.16568305654874294,0.008097748674967346,0.14586212801254939,0.18760581953577918
4.361577087273232,0.16597442510449523,0.008112940752157762,0.14611595840462,0.18793780430498186
4.421324718605742,0.16632427533995917,0.008131140981912371,0.14642082860794256,0.18833630235034696
4.481072349938252,0.16673461238879903,0.008152562471304537,0.146778231756914,0.1888039043877305
4.540819981270762,0.1672075059607567,0.00817743874679818,0.1471896772281877,0.18934332253906008
4.600567612603272,0.16774509554361786,0.008206025578331676,0.14765669150070204,0.18995740056522212
4.6603152439357824,0.16834959579381492,0.00823860289542097,0.14818081898410032,0.19064912453541202
4.720062875268292,0.16902330211952385,0.008275476790261119,0.14876362283195327,0.19142163392244166
4.7798105066008025,0.16976859645966738,0.008316981600070961,0.1494066857624645,0.19227823310550232
4.839558137933312,0.17058795326162648,0.008363482057780446,0.15011161091642206,0.19322240325254764
4.899305769265823,0.17148394565965738,0.008415375496626212,0.1508800227899603,0.19425781454380134
4.959053400598332,0.1724592518549861,0.008473094090347948,0.15171356828804428,0.19538833868598596
5.018801031930843,0.17351666169727,0.008537107106547329,0.15261391795322515,0.1966180616538551
5.078548663263352,0.17465908346553666,0.008607923146502215,0.15358276743277027,0.19795129658174182
5.138296294595863,0.175889550844795,0.008686092340481415,0.15462183925528045,0.1993925967134376
5.198043925928372,0.1772112300922089,0.0087722084635787,0.15573288499477392,0.20094676830422215
5.257791557260883,0.1786274273839802,0.008866910933515982,0.15691768790526345,0.2026188833547913
5.3175391885933925,0.1801415963308394,0.008970886649015157,0.15817806611131077,0.2044142920437377
5.377286819925903,0.1817573456462313,0.009084871625478157,0.15951587643912368,0.20633863471372366
5.437034451258413,0.18347844694682064,0.009209652384100707,0.16093301896768875,0.2083978532570673
5.496782082590923,0.18530884265976452,0.009346067051388808,0.16243144236955548,0.210598201739565
5.556529713923433,0.18725265400520175,0.00949500612847864,0.16401315009573192,0.21294625609717135
5.616277345255943,0.1893141890155003,0.0096574128936919,0.16568020743855377,0.2154489227385489
5.676024976588453,0.1914979505448818,0.009834283407250021,0.16743474948055778,0.21811344588694695
5.735772607920962,0.19380864421398772,0.010026666093702306,0.16927898990699278,0.22094741349640504
5.795520239253473,0.19625118622364307,0.010235660884886796,0.17121523062577676,0.22395876157842728
5.855267870585982,0.19883071096039312,0.010462417913450144,0.17324587210306658,0.2271557767741231
5.915015501918493,0.20155257830319148,0.010708135753271465,0.1753734242871124,0.23054709700108236
